,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
0,2.0,-0.459769,900,2958,1080,1344,1614,0.113668,0.08975527137030492,0.00031039791422659684,-0.005376661968120211,-0.001048,-1.0379227531567221e-05
1,5.0,-0.455548,301,3644,394,1703,1941,0.113536,0.08969848933987357,0.0006813840647069147,-0.004267983320027836,-0.001136,-4.493793018073781e-05
2,4.0,-0.672528,301,3887,151,2246,1641,0.113477,0.08949340824992004,0.0013546429883962811,-0.0040349128454323395,-0.001405,-5.052765536023769e-05
3,3.0,-0.597208,1355,3083,955,1618,1465,0.113289,0.08948335611560762,0.0016544569228870987,-0.0027616123688988404,-0.001296,2.679109515556656e-05
4,4.0,-0.698781,836,3722,316,2183,1539,0.113014,0.08891026059488796,0.0018510091913434318,-0.0027037382479999056,-0.001746,4.804303045308245e-05
5,0.0,-0.368672,35,2,4036,0,2,0.113014,0.08891026059488796,0.0018510091913434318,-0.0027037382479999056,-0.001746,4.288618469918297e-05
6,1.0,-0.61331,1497,3773,265,1989,1784,0.112965,0.08895693740264578,0.0014034372899452204,-0.0027037382479999056,-0.001666,6.049586531319634e-05
7,4.0,-0.17765,2930,2847,1191,558,2289,0.112882,0.0889722099526541,0.0015129608121077173,-0.0029276578230225704,-0.001726,4.7203837583560284e-05
8,5.0,0.720011,2093,3728,310,2294,1434,0.113213,0.08919662290921844,0.001957758899339268,-0.0016628220515445874,-0.001563,4.16125196005612e-05
9,0.0,-0.663821,1355,3714,324,2148,1566,0.113166,0.08906377806105711,0.0019304621061851954,-0.0016545588705861895,-0.001545,1.5610266567632257e-05
10,1.0,0.33854,1355,3240,798,1109,2131,0.1132,0.08900233758190068,0.0023677351477024745,-0.0016545588705861895,-0.001562,1.0031699265494766e-05
11,0.0,-0.744866,2869,3882,156,2381,1501,0.113012,0.08877977779707089,0.0031068216186760414,-0.0013643657617454466,-0.001383,1.0470520755962701e-05
12,3.0,0.593472,3661,522,3516,283,239,0.113088,0.08888300043534193,0.003293416403729172,-0.0013044159701663704,-0.001394,2.6717524964925316e-05
13,3.0,0.364569,301,3,4035,0,3,0.113088,0.08888306495495994,0.003293416403729172,-0.0013044159701663704,-0.001394,2.6422848064702487e-05
14,1.0,0.672398,857,3834,204,2120,1714,0.113162,0.0889628839093456,0.003811592199259105,-0.0014141822585142436,-0.001456,9.046181093982796e-06
