Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
0,2.0,-0.459769,1993.4,3042.8,995.2,1319.2,1723.6,0.11767399999999999,0.07496654885884929,-0.0010123276379300698,-0.0007346431166214199,-0.0054695,6.632853518286789e-07
1,5.0,-0.455548,2264.6,3118.6,919.4,1310.6,1808.0,0.11745710000000001,0.0748471961706828,-0.00103011456029575,-0.00041097676351491,-0.0054502,1.2554264270937264e-06
2,4.0,-0.672528,2665.2,3286.5,751.5,1787.0,1499.5,0.11727080000000001,0.07481550013618794,-0.0008366385498690942,-0.0002175450526843401,-0.0055065999999999995,7.91762568452404e-06
3,3.0,-0.597208,1791.8,2532.4,1505.6,1270.1,1262.3,0.11702989999999999,0.07484324190390576,-0.0010452961713728723,-0.00022501457064871,-0.005549799999999999,9.41266679795727e-06
4,4.0,-0.698781,2665.3,3648.2,389.8,2011.9,1636.3,0.1167809,0.07481677740608714,-0.0009068801806608476,5.701299275633037e-06,-0.0056008,1.0316591658773713e-05
5,0.0,-0.368672,1875.8,2650.5,1387.5,944.2,1706.3,0.1165993,0.07475479442293738,-0.0008524023749940599,-0.00017502188959541,-0.0055802,1.1560367909567047e-05
6,1.0,-0.61331,1774.8,3131.4,906.6,1604.2,1527.2,0.11635740000000001,0.07468036685017757,-0.0008728586282025398,-5.882384373250005e-05,-0.005502699999999999,-8.014003717075782e-06
7,4.0,-0.17765,2117.0,706.3,3331.7,115.1,591.2,0.11633279999999999,0.07466974474050202,-0.0008544009471822386,-4.697132469989006e-05,-0.0054866,-7.907527289124518e-06
8,5.0,0.720011,2262.4,3056.3,981.7,1724.8,1331.5,0.11662310000000001,0.07489133332267964,-0.0009345242575000736,-0.00023402392403442003,-0.0054619000000000004,1.1852275111768327e-05
9,0.0,-0.663821,2371.7,2580.5,1457.5,1375.9,1204.6,0.1164091,0.07481806523628257,-0.00082586040653352,0.00015615511766718003,-0.0056056,2.9636203616821597e-05
10,1.0,0.33854,2005.1,2198.1,1839.9,674.2,1523.9,0.1165022,0.07483566422586438,-0.0008227291909406141,0.00013465022259370998,-0.0056204,2.869189880464953e-05
11,0.0,-0.744866,1888.7,3490.3,547.7,1998.0,1492.3,0.1162455,0.0747576274160671,-0.0007419700714251531,0.00027010012835778995,-0.005618800000000001,2.966843827211713e-05
12,3.0,0.593472,1882.4,2494.3,1543.7,1228.2,1266.1,0.1165406,0.07479900507205331,-0.00076960095023004,0.00062838749306709,-0.0055398,2.7506365422878382e-05
