Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
0,2.0,-0.459769,1569.7,2677.5,1360.5,1151.9,1525.6,0.11774180000000001,0.07502859833887991,-0.0009303072099075794,-0.0006250315895502401,-0.005516999999999999,6.646490128980535e-06
1,5.0,-0.455548,2242.2,3409.2,628.8,1428.7,1980.5,0.11747890000000001,0.07492880974039665,-0.0008398842309938311,-0.00034849672419839,-0.0054911,-3.123378687933344e-06
2,4.0,-0.672528,2108.6,3449.1,588.9,1867.3,1581.8,0.1172439,0.07485844876898796,-0.00091460417772163,-0.00028874168456090006,-0.005479599999999999,1.777355395990636e-05
3,3.0,-0.597208,1889.9,3071.4,966.6,1527.1,1544.3,0.11697969999999999,0.07488749567380462,-0.00076226474963422,-0.00028324513449846006,-0.0055223,9.67109922429544e-06
4,4.0,-0.698781,1527.0,3652.9,385.1,1995.3,1657.6,0.11670119999999999,0.07474660491269992,-0.00084220493505055,-0.0003239738509121199,-0.0055333,2.4447419824834874e-05
5,0.0,-0.368672,2175.4,2566.9,1471.1,912.2,1654.7,0.1165197,0.07466390474256569,-0.00085336524388867,-0.0003340011140431301,-0.005538700000000001,3.410361969455575e-05
6,1.0,-0.61331,1271.2,2799.1,1238.9,1433.4,1365.7,0.1163014,0.0745959376027065,-0.000732604386400954,-0.00047208735529074,-0.005495700000000001,4.9197815658889094e-05
7,4.0,-0.17765,2543.7,727.3,3310.7,110.3,617.0,0.11628419999999999,0.07459535805358575,-0.0007108689865733041,-0.00032260531989888994,-0.0055046,5.3860447188000005e-05
8,5.0,0.720011,2021.5,3328.7,709.3,1860.9,1467.8,0.1166672,0.074932102958141,-0.0008243101517574301,-0.0002456720306275147,-0.0054987,5.3397334756425966e-05
9,0.0,-0.663821,2109.9,3409.9,628.1,1829.7,1580.2,0.1163478,0.07483427923380717,-0.0006521876578688099,-0.0004886718579185099,-0.0056451,4.780457056541397e-05
10,1.0,0.33854,1783.6,1950.1,2087.9,611.7,1338.4,0.1165011,0.074946913323683,-0.0004289259441543399,-0.0005895292590447972,-0.0057196999999999994,3.504354767970758e-05
11,0.0,-0.744866,2035.2,3479.3,558.7,1977.3,1502.0,0.11625700000000001,0.07487873606525805,-0.00045183630462561006,-0.00076719129190624,-0.0057535,4.851337683738605e-05
12,3.0,0.593472,2168.7,2613.0,1425.0,1280.6,1332.4,0.116605,0.07499853057923232,-0.00027793148886598906,-0.0003976618300316646,-0.0056526,6.089122801165112e-05
13,3.0,0.364569,2018.4,1934.8,2103.2,671.1,1263.7,0.1167791,0.07503891562853093,-0.00013722273230405,-0.0003377730439541226,-0.005619399999999999,6.198736383321752e-05
14,1.0,0.672398,1649.8,3296.4,741.6,1752.9,1543.5,0.1172455,0.07522993220354775,-0.00020040263629233997,-0.00018297511135028003,-0.005701300000000001,8.128100482395837e-05
15,3.0,0.814067,2033.8,2447.7,1590.3,1439.8,1007.9,0.1177233,0.07528649566967824,0.00017063480799092,8.554941050103996e-05,-0.0056267999999999995,7.779933708174676e-05
16,4.0,-0.85685,1774.2,3695.7,342.3,2215.5,1480.2,0.1175543,0.07513399294399081,9.408290065931998e-05,-1.4671284962459942e-05,-0.0056834,7.723518560917564e-05
17,0.0,-0.785117,1842.6,3444.8,593.2,1979.3,1465.5,0.117312,0.07503728497591065,0.00015700433294343,0.00018850082537019,-0.005783999999999999,7.86344973690931e-05
18,2.0,-0.39117,2253.3,2554.6,1483.4,938.7,1615.9,0.11714379999999999,0.07491283044863752,0.00017651899243276083,0.00018761715170673,-0.0057342,6.40654310256747e-05
19,4.0,-0.272472,1757.3,1625.8,2412.2,381.6,1244.2,0.11708480000000002,0.07489834399947655,0.000122880420859718,0.0002488067344363,-0.005729199999999999,6.669017882554016e-05
20,5.0,-0.248584,1896.9,2557.7,1480.3,615.5,1942.2,0.1169765,0.07481931944762558,0.0001277173370818698,0.00029739219404181,-0.0057167,6.172962661677499e-05
21,3.0,-0.828362,1750.9,3276.9,761.1,1956.7,1320.2,0.1165784,0.07479894953348784,9.577173469494998e-05,0.00052177541181258,-0.0058200000000000005,8.362719576866033e-05
22,5.0,-0.692933,2008.8,3389.3,648.7,1846.9,1542.4,0.1163781,0.07472270114070487,4.5600046940850015e-05,0.0005555892772077609,-0.005736,6.450750995534821e-05
23,4.0,-0.708449,2335.6,1755.2,2282.8,919.6,835.6,0.1162893,0.07473854475006843,0.0001218410543025,0.000517653612901971,-0.005781199999999999,8.091579016084688e-05
24,3.0,-0.17273,2260.7,1714.9,2323.1,281.4,1433.5,0.11620570000000001,0.07468470528275759,0.00017608813489086998,0.00049136300127487,-0.005814799999999999,8.043127220215879e-05
25,1.0,-0.587247,2074.3,3592.4,445.6,1764.0,1828.4,0.1159203,0.07462794474405471,1.3941873952210034e-05,0.0006396972250158501,-0.0057803,7.770869244466962e-05
26,4.0,0.9312249999999999,1918.0,3514.3,523.7,2129.6,1384.7,0.116214,0.07493206631889977,0.00026828092911144,0.0006134928312701,-0.0057839,7.425531712243664e-05
27,3.0,0.46000499999999994,1948.5,2354.7,1683.3,934.9,1419.8,0.1164769,0.0749052140304274,0.0001228882825610392,0.0005905192898235201,-0.0057196,7.688496097531159e-05
28,0.0,-0.8382530000000001,1931.4,3556.9,481.1,2073.4,1483.5,0.1162636,0.0749934826870224,-4.640620596367e-05,0.0006854527998024279,-0.005768600000000001,6.730306409786561e-05
29,1.0,0.335564,2039.0,2464.9,1573.1,777.6,1687.3,0.1164671,0.07510617604303056,-1.4311649995594057e-05,0.0008229379779353101,-0.005765899999999999,6.759090401549783e-05
30,3.0,-0.331349,1727.0,2508.7,1529.3,783.1,1725.6,0.1162583,0.07497766795959344,1.9577296790103404e-05,0.00061300141748007,-0.0057763,6.582065345843461e-05
31,5.0,0.650553,1885.7,3154.6,883.4,1658.8,1495.8,0.1165546,0.07514915666151022,0.00010973090366041636,0.0006951979486766619,-0.0058033,5.3519073323091224e-05
32,0.0,-0.570672,1819.9,2448.6,1589.4,1109.0,1339.6,0.1163741,0.07513948491870961,3.178592278395001e-05,0.0009210797501684242,-0.005814999999999999,5.436900138287282e-05
33,0.0,-0.245424,1939.3,1516.3,2521.7,332.2,1184.1,0.1163267,0.07513109384383483,4.707114937249992e-06,0.0008990335192271701,-0.0058116,5.279346415212237e-05
34,1.0,-0.556553,2117.0,2938.7,1099.3,1377.4,1561.3,0.1160397,0.07498011110000259,-7.304068043137001e-05,0.0008783424695641397,-0.0057577,3.897803275772492e-05
35,3.0,0.062426999999999996,2445.3,326.5,3711.5,18.1,308.4,0.11604129999999999,0.0749813609557691,-7.304068043137001e-05,0.0008783424695641397,-0.0057578,3.930830646992917e-05
36,4.0,-0.551645,2027.2,2751.5,1286.5,1249.4,1502.1,0.1158596,0.07499070746228458,-0.00015594698344883998,0.0008661989805433385,-0.005737499999999999,4.413975130920855e-05
37,1.0,0.52511,2528.6,3122.9,915.1,1387.1,1735.8,0.1161743,0.0752210175322461,-4.5284648984367435e-05,0.00102929568381975,-0.0058332,3.574448172969631e-05
38,1.0,-0.4893660000000001,2070.3,2930.9,1107.1,1260.7,1670.2,0.11592150000000001,0.07510131636996785,-0.00014811799245424012,0.0007725858100959401,-0.0057651,4.077154338770176e-05
39,4.0,-0.10524,2238.3,380.3,3657.7,32.6,347.7,0.1159178,0.07509907607802482,-0.0001461892985539401,0.0007725858100959401,-0.0057657,4.078700253812388e-05
40,2.0,0.445429,1731.9,2542.2,1495.8,1023.7,1518.5,0.1161695,0.07531774328512851,-0.00014678746826295015,0.00073338588889342,-0.005742700000000002,4.711015067711219e-05
41,1.0,-0.671714,2244.6,3263.7,774.3,1710.9,1552.8,0.1158585,0.07523718680039518,-5.8162930065300007e-05,0.00080112565919395,-0.005598699999999999,3.912631196252811e-05
42,4.0,0.701954,1970.4,3143.4,894.6,1624.7,1518.7,0.1161202,0.07536420710355059,-0.00010871444406097999,0.0007255058243146401,-0.0055149000000000005,3.346463195473467e-05
43,4.0,0.749719,1514.6,3171.7,866.3,1711.2,1460.5,0.1164904,0.07550668256606485,-0.00023920095932910838,0.0008072585526595682,-0.005442100000000001,1.1463533085381563e-05
44,1.0,0.357057,1541.3,2514.7,1523.3,813.9,1700.8,0.11670929999999999,0.07565238087315977,-0.0001659586492646,0.00087355627828033,-0.005502999999999999,6.097505361295479e-06
45,2.0,0.262092,1711.6,1678.5,2359.5,428.5,1250.0,0.11680589999999999,0.07571037193481442,-4.4951105533149965e-05,0.0007963724429078699,-0.0054765000000000005,1.7044315230625594e-05
46,1.0,0.323409,2007.6,2384.7,1653.3,717.6,1667.1,0.1170329,0.0758254770653075,3.120248598058999e-05,0.0008586161212707,-0.0055555000000000005,1.292671215901314e-05
47,4.0,-0.673508,2351.9,2364.5,1673.5,1212.1,1152.4,0.1168747,0.07572561947557918,2.227911190425001e-05,0.0008239453310780085,-0.005569300000000001,4.2197335185661144e-05
48,1.0,0.686776,2355.2,3556.9,481.1,1874.5,1682.4,0.1174099,0.07603441900914498,-5.354227153789965e-06,0.00092746584703316,-0.005645599999999999,2.8700813162421353e-05
49,2.0,-0.370808,1841.6,2219.3,1818.7,770.3,1449.0,0.11728419999999999,0.07594548285727529,-6.514252537207997e-05,0.0008635464638649601,-0.005585,3.426536822969858e-05
50,1.0,0.382281,2351.1,2608.4,1429.6,924.5,1683.9,0.1175429,0.07614505086452655,5.241030782168004e-05,0.0010139149560893601,-0.0056602,3.516248034490382e-05
51,0.0,-0.826821,1524.5,2965.8,1072.2,1700.0,1265.8,0.1173943,0.0761333172800778,6.399534696981208e-05,0.00122797356809508,-0.005612799999999999,3.202613447326548e-05
52,4.0,-0.7165,2036.8,3572.3,465.7,1874.6,1697.7,0.11713149999999999,0.07598083064516953,-0.0001019870266369467,0.0008209366752395735,-0.005632099999999999,2.137143427637602e-05
53,2.0,-0.621121,1905.3,3281.3,756.7,1678.1,1603.2,0.1169182,0.07590089592336209,-6.200536143831282e-05,0.0008127104079983898,-0.005597200000000001,2.8837712893201602e-05
54,5.0,-0.46916,1845.6,3474.3,563.7,1457.2,2017.1,0.11672260000000001,0.07571842133113957,-5.3189405047160006e-05,0.0006870053470235501,-0.0055559,3.133131167727062e-05
55,4.0,-0.67529,1745.0,2235.1,1802.9,1101.9,1133.2,0.1165978,0.07561472666512115,-5.483235551309767e-05,0.00084920334532038,-0.0056219,3.498361906658258e-05
56,0.0,0.527943,2654.9,2741.6,1296.4,1141.1,1600.5,0.11682250000000001,0.07573319963641918,-5.290220953421015e-05,0.0005877165103600299,-0.005652699999999999,2.8319204145472575e-05
57,1.0,0.48067399999999993,2555.1,3223.8,814.2,1357.2,1866.6,0.11721999999999999,0.07598864634074118,4.598863836345715e-05,0.0005110437177764181,-0.005698099999999999,4.5446313139214965e-06
58,5.0,0.64602,2167.7,3676.8,361.2,1897.1,1779.7,0.1175697,0.07628946959541251,9.745891069852999e-05,0.00060953436821382,-0.0057408,1.4550203159051346e-05
59,0.0,-0.408563,2096.5,1935.3,2102.7,675.5,1259.8,0.11746749999999999,0.07630609229790876,-0.00011891503517096999,0.0007341288001304627,-0.0056892999999999996,1.1000032874896862e-05
60,2.0,0.548847,1818.9,3484.9,553.1,1604.3,1880.6,0.117761,0.07649295469893266,0.00016494418889997,0.0007757018991844699,-0.00576,7.0980896988267045e-06
61,0.0,0.428672,2120.5,2338.4,1699.6,821.9,1516.5,0.1179419,0.07659021964168747,7.770574020545e-05,0.00067401073784398,-0.0057445,2.9159252973635945e-06
62,4.0,0.552901,1829.7,2522.4,1515.6,1108.0,1414.4,0.118165,0.07671720589566614,0.00013856866328486997,0.00086050785665029,-0.0056955999999999994,1.3486397964793077e-05
63,3.0,0.778063,2419.2,3304.3,733.7,1857.2,1447.1,0.11864840000000001,0.07689764989903825,-2.2766273363877364e-05,0.0010229120965777267,-0.0056647,-3.1424872026105006e-06
64,1.0,-0.536411,2116.4,2747.9,1290.1,1260.6,1487.3,0.11837040000000001,0.076717557029268,0.00010382132055300006,0.0012039405933843424,-0.005623999999999999,-1.3327510310647898e-05
65,0.0,-0.623669,1868.7,2974.4,1063.6,1414.3,1560.1,0.1182078,0.07671995983895435,5.4668569324317845e-05,0.0012362355818199462,-0.0056293,-2.4790603155413355e-05
66,3.0,0.509756,1861.3,2577.1,1460.9,1134.5,1442.6,0.1185662,0.07680253168496422,2.969474036474183e-05,0.0012287279195904344,-0.0055711,-3.642817644086053e-05
67,0.0,0.655686,2197.7,2900.0,1138.0,1412.5,1487.5,0.1188745,0.07688009611873245,1.7629521425761852e-06,0.0011155815802086002,-0.0055087,-4.205150783475453e-05
68,4.0,-0.339661,2360.3,1662.4,2375.6,476.5,1185.9,0.11879599999999998,0.07686786873080158,1.4440259968446144e-05,0.0011359097420824901,-0.0055373,-4.3897058565577555e-05
69,4.0,0.55661,2127.5,3328.0,710.0,1461.8,1866.2,0.11909829999999999,0.07714920326857352,0.00012137297635493004,0.0012307921139055645,-0.0055435,-4.9776954007639765e-05
70,2.0,0.649722,1978.6,3283.6,754.4,1710.4,1573.2,0.1194622,0.07736246524048412,8.733802810231539e-05,0.0012315104350275699,-0.005619500000000001,-5.408134916182533e-05
71,0.0,0.676847,2346.8,3033.8,1004.2,1529.9,1503.9,0.1197732,0.07749758056756842,-7.388429505347768e-05,0.00112409851935737,-0.0056032,-5.118459204972223e-05
72,3.0,0.768761,2008.1,3047.9,990.1,1723.7,1324.2,0.1203336,0.07774091764818143,0.00013863128077634904,0.0014133717473385399,-0.0054576,-3.438762426339962e-05
73,0.0,-0.505987,1870.6,2710.7,1327.3,1115.3,1595.4,0.120102,0.07763704198164836,0.00014317833398149005,0.00142287137429666,-0.005431900000000001,-2.4348037773368294e-05
74,0.0,0.50125,2220.2,1968.6,2069.4,806.8,1161.8,0.12028989999999999,0.07766900061376096,0.00017168215325668996,0.001415081027821923,-0.005435400000000001,-2.7685882069243584e-05
75,4.0,-0.412028,1817.0,2197.7,1840.3,775.4,1422.3,0.12012369999999999,0.07754307404984404,0.00012046417388655868,0.0012205115904268555,-0.0053685,-3.0510448262107728e-05
76,4.0,0.505494,1903.8,2656.8,1381.2,1081.1,1575.7,0.1204137,0.07774512291734768,8.549918410994421e-05,0.0014361311499851395,-0.005324000000000001,-4.0108253964121464e-05
77,5.0,0.41513,1778.7,3223.2,814.8,1221.6,2001.6,0.12071000000000001,0.07794864796563111,0.0001511215261054216,0.0014328204494567355,-0.0053355,-3.280997820631688e-05
78,2.0,-0.426455,1939.5,2970.8,1067.2,1155.8,1815.0,0.12043600000000002,0.07784098775597514,0.00024952501310901,0.0012634317300001053,-0.0053021,-2.7625959884958533e-05
79,5.0,-0.271491,2331.6,1665.1,2372.9,422.2,1242.9,0.1203187,0.07775677894083194,0.0003979523959643,0.0013119553031555931,-0.0052924999999999995,-3.331624556750534e-05
80,1.0,-0.600844,2014.3,3434.0,604.0,1680.5,1753.5,0.12001120000000001,0.07755965499509618,0.00030540531479149996,0.0015581642077309242,-0.005254600000000001,-8.682051697387754e-07
81,0.0,0.826338,1870.8,3476.7,561.3,1938.6,1538.1,0.1204023,0.07770753938888117,0.00014108924918225003,0.00142803729948599,-0.005275899999999999,-1.5037901120301884e-05
