Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
0,2.0,-0.459769,1863.0,2972.3,1065.7,1280.1,1692.2,0.11767799999999999,0.07496774152843083,-0.00099561865113032,-0.0009831204741495099,-0.0054549,7.226494577178071e-06,0.8767941550885807
1,5.0,-0.455548,1670.5,2778.9,1259.1,1170.9,1608.0,0.117513,0.0748742975588852,-0.0008109661039792647,-0.00076530689614671,-0.0054964,1.333502275857825e-05,0.8767926822651273
2,4.0,-0.672528,1607.6,3326.2,711.8,1808.4,1517.8,0.11726620000000001,0.07480102729440152,-0.00074431573820124,-0.0006799571904376401,-0.0055052,2.9434987468178213e-05,0.8767926822651273
3,3.0,-0.597208,1130.1,2856.1,1181.9,1431.7,1424.4,0.11706829999999999,0.07480324638452061,-0.0008094558524255069,-0.0006352118111793099,-0.0054288,4.6601122929689855e-05,0.8767975753823181
4,4.0,-0.698781,2431.3,3355.2,682.8,1845.6,1509.6,0.11689210000000001,0.07479258873135097,-0.0007282509389591379,-0.00058833473125876,-0.0054419,5.747757702635935e-05,0.8767975753823181
5,0.0,-0.368672,1425.1,2046.7,1991.3,729.5,1317.2,0.11673199999999999,0.07480845609761379,-0.0007943245892227801,-0.0004920319538112462,-0.0054974,5.339133662032121e-05,0.8767881606839603
6,1.0,-0.61331,2000.7,3269.9,768.1,1672.8,1597.1,0.11650279999999999,0.0746942409865299,-0.00097890839689869,-0.00047584967064848,-0.0054317,5.304546664463429e-05,0.8767905056137195
7,4.0,-0.17765,2519.0,1206.2,2831.8,202.5,1003.7,0.11647129999999999,0.0746741410305233,-0.00098990677988178,-0.0004939214535369601,-0.005434900000000001,5.330637498530425e-05,0.8767921344968128
8,5.0,0.720011,2374.2,3365.7,672.3,1903.4,1462.3,0.11676660000000001,0.07483862274130144,-0.00122835019672782,-0.00023928954244750998,-0.005419600000000001,7.034989123227999e-05,0.876837427490128
9,0.0,-0.663821,1510.7,3300.2,737.8,1798.0,1502.2,0.11650229999999999,0.07473679035111383,-0.0011137971255214699,-7.536603630046004e-05,-0.005496599999999999,5.022106738716642e-05,0.8767956608399672
10,1.0,0.33854,1729.3,1718.6,2319.4,544.6,1174.0,0.11660129999999999,0.07484387839716156,-0.00095911254950286,-0.00014867885268751005,-0.0055298000000000005,4.8503053663753074e-05,0.876795129173713
11,0.0,-0.744866,2072.2,3256.8,781.2,1854.0,1402.8,0.11633659999999998,0.0748620215921751,-0.0008509670350996921,-0.0002967763389857299,-0.0055921,4.7961334355577456e-05,0.8767909567878089
12,3.0,0.593472,2168.5,2462.4,1575.6,1210.4,1252.0,0.11662330000000001,0.07489993196021014,-0.000621219135034769,-0.00033417797145278996,-0.005526199999999999,4.1633338108108256e-05,0.8767879788724833
13,3.0,0.364569,1307.9,2010.2,2027.8,680.1,1330.1,0.11675469999999999,0.07492085342399499,-0.0006728312956979299,-0.0004354613143150299,-0.0055173,4.227721650453027e-05,0.8767925058036544
14,1.0,0.672398,2386.9,3597.1,440.9,1931.7,1665.4,0.1171184,0.07509363099759518,-0.0006822690138965269,-0.00045863980212753003,-0.0055763,3.610095293941758e-05,0.876771545900213
15,3.0,0.814067,1804.6,3057.7,980.3,1818.0,1239.7,0.1175458,0.07511501540180442,-0.00059054986805086,-0.00042510907574053994,-0.0054369,2.9333944164283952e-05,0.8767679246753224
16,4.0,-0.85685,2528.1,3725.2,312.8,2241.3,1483.9,0.11731640000000002,0.07502922466328385,-0.00041846086805504966,1.2667274597449982e-05,-0.005508700000000001,2.245091343734009e-05,0.8767541149451912
17,0.0,-0.785117,2242.2,2860.5,1177.5,1647.3,1213.2,0.117116,0.07505784768839442,-0.00037406355455231336,7.695593801022007e-05,-0.0055693,3.306937848644296e-05,0.8767504996134259
18,2.0,-0.39117,2034.9,2565.9,1472.1,943.7,1622.2,0.1169678,0.0750109885133591,-0.0003728824661363666,-4.320592042206682e-05,-0.0055118,4.102833639681592e-05,0.8767242081799027
19,4.0,-0.272472,2070.5,1381.9,2656.1,332.0,1049.9,0.11691389999999999,0.07500961611419159,-0.000239251168947515,-0.00016138521485635694,-0.005522500000000001,4.294036760838765e-05,0.8767241890002377
