,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
0,2.0,-0.459769,2790,3715,323,1565,2150,0.114828,0.08473552595239102,-0.0023234452027150517,0.0030497905591840954,-0.012412,4.836884129735083e-05,0.8626698561525129
1,5.0,-0.455548,2030,3866,172,1615,2251,0.114423,0.08413484178609251,-0.0014266800503742753,0.0033253409319216366,-0.012668,3.88194664520921e-05,0.8626603067776677
2,4.0,-0.672528,455,3889,149,1919,1970,0.114106,0.08381145661002222,-0.001939423031151455,0.0028741699031555835,-0.012557,5.4698242139143355e-05,0.8626603067776677
3,3.0,-0.597208,568,3093,945,1479,1614,0.113851,0.08387783001858086,-0.0018822299128378305,0.0014142448395460803,-0.012258,6.598509944705786e-05,0.8626715936349757
4,4.0,-0.698781,1023,3214,824,1623,1591,0.113732,0.08393837656729121,-0.0017617567716945795,0.00015821834912132246,-0.012179,7.515899475725709e-05,0.8626715936349757
5,0.0,-0.368672,1547,2508,1530,823,1685,0.113565,0.08388051709391026,-0.001953341476908555,0.0008212660554112007,-0.012186,6.741942122420435e-05,0.8626638540614426
6,1.0,-0.61331,1547,3,4035,0,3,0.113569,0.08388285715595858,-0.001953341476908555,0.0008212660554112007,-0.012184,5.422896153946391e-05,0.8626506636017578
7,4.0,-0.17765,1983,115,3923,18,97,0.113567,0.0838841076929988,-0.001953341476908555,0.0008212660554112007,-0.01218,5.232834144898247e-05,0.8626487629816675
8,5.0,0.720011,2300,3935,103,2160,1775,0.113901,0.08434012255673491,-0.0017945410137397255,0.0005434000854572388,-0.012051,6.856461280327808e-05,0.8626487629816675
9,0.0,-0.663821,2790,3159,879,1606,1553,0.113625,0.08422676490674152,-0.0015545398711919475,0.0007635867953354121,-0.012127,-3.267845726060865e-06,0.862576930523138
10,1.0,0.33854,110,5,4033,0,5,0.113625,0.08422655239853755,-0.0015545398711919475,0.0007635867953354121,-0.012127,-9.279799179886069e-06,0.8625709185696843
11,0.0,-0.744866,2170,3735,303,2041,1694,0.113302,0.08359781847111424,-0.002641904451929768,0.00169310359875331,-0.012203,-7.162612265125498e-06,0.862573035756599
12,3.0,0.593472,227,19,4019,8,11,0.113297,0.0835947491513092,-0.002641904451929768,0.001838218730919436,-0.012207,-2.981248847210743e-05,0.8625503858803921
13,3.0,0.364569,2045,734,3304,217,517,0.113306,0.08351506654355921,-0.0026058196713845128,0.001838218730919436,-0.012235,-3.769922405022082e-05,0.862542499144814
14,1.0,0.672398,3730,3669,369,1881,1788,0.113771,0.08409073577729986,-0.0019906492983351575,0.0023837506557078418,-0.012154,-7.220102626954809e-06,0.8625729782662372
15,3.0,0.814067,1547,3,4035,0,3,0.113769,0.08408970813567326,-0.0019906492983351575,0.0023837506557078418,-0.012155,-1.5382411779385278e-05,0.8625648159570847
16,4.0,-0.85685,1983,3800,238,2149,1651,0.11335,0.08411437072928488,-0.0010940489815879967,0.002255628158251618,-0.012074,1.5168958196681404e-05,0.8625953673270609
17,0.0,-0.785117,2790,3149,889,1726,1423,0.113112,0.08393943826963525,-0.0013556970648297766,0.0024507717632872173,-0.012178,7.309458335142267e-05,0.8626268010977962
18,2.0,-0.39117,1709,3422,616,1232,2190,0.112735,0.08372386437455535,-0.0015271110197954177,0.00329633777347797,-0.011718,7.302711615657246e-05,0.8626267336306012
19,4.0,-0.272472,1983,146,3892,32,114,0.112734,0.08373154512329126,-0.0015511779940615776,0.00329633777347797,-0.011717,9.571719620939082e-05,0.8626267336306012
20,5.0,-0.248584,2790,2425,1613,574,1851,0.112605,0.08353269791377929,-0.0012143408977703053,0.0033841379222285554,-0.011748,9.12510469340561e-05,0.8626222674813259
21,3.0,-0.828362,2804,3933,105,2255,1678,0.11242,0.08343216937172569,-0.0015703116888513742,0.003395485671490201,-0.011475,4.356719944705436e-05,0.8625745836338389
22,5.0,-0.692933,2790,3834,204,2085,1749,0.112034,0.08292608730198002,-0.0022678723929757632,0.003382953759847071,-0.011747,2.1889927845172703e-05,0.862552906362237
23,4.0,-0.708449,2273,3112,926,1466,1646,0.111724,0.08263800523403066,-0.0016496281344669278,0.0032842308430966745,-0.011774,4.336232200214225e-05,0.862552906362237
24,3.0,-0.17273,2655,192,3846,32,160,0.111718,0.08263416056603705,-0.0016496281344669278,0.0032842308430966745,-0.011766,4.584128005963245e-05,0.8625553853202945
25,1.0,-0.587247,1023,3663,375,1782,1881,0.111434,0.08231202484838476,-0.0018655598053972894,0.003086386969592157,-0.011827,4.277985135789544e-05,0.8625523238915929
26,4.0,0.931225,2790,3876,162,2176,1700,0.111747,0.08267978993284399,-0.0023348645048955393,0.0030202360438491994,-0.011738,5.1870268009824846e-05,0.8625614143082447
27,3.0,0.460005,1983,172,3866,78,94,0.111767,0.08264016141499823,-0.002307671333440834,0.0031244256945093763,-0.011754,4.4460277913266284e-05,0.8625540043181481
28,0.0,-0.838253,2790,2029,2009,1132,897,0.111538,0.08244271648044518,-0.002372606181390613,0.0029467190043505555,-0.011778,4.50731765109136e-05,0.8625546172167459
29,1.0,0.335564,1723,3176,862,970,2206,0.111792,0.08268298374722173,-0.0021339016403700553,0.00276070331790673,-0.011674,3.4060079209601385e-05,0.8625436041194444
30,3.0,-0.331349,2790,2941,1097,817,2124,0.111591,0.0826944622761802,-0.0020371958746037582,0.0032516251658809584,-0.011468,4.240769000435257e-05,0.8625466655481463
31,5.0,0.650553,2247,3561,477,1838,1723,0.111904,0.08307165899903242,-0.0018911286308431333,0.002584543124382253,-0.011274,5.964527356463977e-05,0.8625466655481463
32,0.0,-0.570672,2059,457,3581,186,271,0.111837,0.08301063719038285,-0.0019936927207684853,0.0028421615841626243,-0.011285,4.8488242121213175e-05,0.8625355085167028
33,0.0,-0.245424,2790,2196,1842,407,1789,0.111712,0.08281300474375279,-0.0020338948787295284,0.0025684015875728364,-0.0113,5.4570168340574405e-05,0.8625415904429222
34,1.0,-0.556553,1023,3287,751,1551,1736,0.111687,0.08281568554379648,-0.002019281975835055,0.0025684015875728364,-0.011279,5.084659945301755e-05,0.8625378668740347
35,3.0,0.062427,3515,17,4021,0,17,0.111687,0.08281481955598896,-0.002019281975835055,0.0025684015875728364,-0.011278,4.930108148846605e-05,0.8625363213560701
36,4.0,-0.551645,451,2853,1185,1109,1744,0.11151,0.08283039244618613,-0.0016726654868757557,0.003075175396571618,-0.011251,5.904492897546778e-05,0.862546065203557
37,1.0,0.52511,2790,2824,1214,1264,1560,0.111829,0.08302438377257296,-0.0017373204443011608,0.002284019290712913,-0.011247,8.292175492248436e-05,0.8625699420295041
38,1.0,-0.489366,527,3596,442,1552,2044,0.11163,0.0826294871142194,-0.0016274459635454259,0.0024678501486056245,-0.011226,7.515723400146432e-05,0.862562177508583
39,4.0,-0.10524,1983,111,3927,11,100,0.111631,0.08263100910216098,-0.0016274459635454259,0.0024678501486056245,-0.011223,7.354096197193405e-05,0.8625605612365534
40,2.0,0.445429,318,209,3829,77,132,0.111668,0.08261066060873273,-0.0018706070017772685,0.002437892859124736,-0.011256,7.92712417441549e-05,0.8625605612365534
41,1.0,-0.671714,318,3315,723,1741,1574,0.111415,0.08229251453106139,-0.002018335294405976,0.0020688229773360546,-0.011293,6.875898623536559e-05,0.8625500489810447
42,4.0,0.701954,2790,2034,2004,916,1118,0.111661,0.08249310862998442,-0.0018789387952200753,0.0017440823715205612,-0.011338,8.970331651513782e-05,0.8625500489810447
43,4.0,0.749719,2874,3567,471,1745,1822,0.112093,0.08294232617305813,-0.001857685172645138,0.001946122435406611,-0.011254,7.013621244647395e-05,0.862530481876976
44,1.0,0.357057,1411,919,3119,276,643,0.112172,0.08296340913449946,-0.001774921808271936,0.002879112327886963,-0.011257,7.364280751951183e-05,0.8625339884720491
45,2.0,0.262092,2766,1838,2200,433,1405,0.112369,0.08299910507293577,-0.0017099328212272983,0.002879112327886963,-0.011466,6.811723019389117e-05,0.8625284628947235
46,1.0,0.323409,2790,3545,493,1022,2523,0.112497,0.08312653456240499,-0.0015999171913531514,0.002818008009450152,-0.011432,7.071279840384413e-05,0.8625310584629334
47,4.0,-0.673508,585,3797,241,1757,2040,0.112198,0.08300186783049844,-0.0009281022471727911,0.0029062564415864183,-0.011401,8.829085402817359e-05,0.8625486365185577
48,1.0,0.686776,2790,3075,963,1629,1446,0.112886,0.08403520414562932,-0.0014449799259669248,0.0016038585453059188,-0.011205,9.076118421791453e-05,0.8625486365185577
49,2.0,-0.370808,2790,2267,1771,740,1527,0.112684,0.08413873698469869,-0.0013322747297693058,0.0017681204972576428,-0.01089,0.00012848532385643894,0.8625486365185577
50,1.0,0.382281,2790,3000,1038,1056,1944,0.113153,0.08464391609215581,-0.0013188810038258889,0.001954448508737215,-0.010812,0.00011020518025653797,0.8625303563749579
51,0.0,-0.826821,2790,2342,1696,1233,1109,0.112999,0.08463029113778175,-0.0012100481492511744,0.0018769489283924292,-0.010913,9.582421962271771e-05,0.862515975414324
52,4.0,-0.7165,2258,3058,980,1415,1643,0.112854,0.08445722124572344,-0.0010532286528400806,0.0011085468711647564,-0.010838,0.00010435553182870929,0.8625245067265301
53,2.0,-0.621121,2790,3096,942,1539,1557,0.112627,0.08446074407862868,-0.00046277038769112057,0.0011473764144480764,-0.010432,0.00015057876777820173,0.8625426112560516
54,5.0,-0.46916,1023,3702,336,1518,2184,0.112436,0.08433370764323034,-0.0007652346963136438,0.0011143188253051153,-0.01051,0.00014222592900883465,0.862534258417282
55,4.0,-0.67529,585,3093,945,1371,1722,0.112315,0.0839797749744263,-0.0005213397292255058,0.0012454465960161775,-0.010626,0.00013480009678213585,0.8625268325850554
56,0.0,0.527943,585,1948,2090,718,1230,0.112503,0.08400837095490439,-0.00045751547052475704,0.001475015403137243,-0.010587,0.00013135158052988104,0.8625233840688031
57,1.0,0.480674,1785,2981,1057,1287,1694,0.113057,0.08468400510942502,-0.000469522692917091,0.0012233324304686116,-0.01038,0.00013279088134691497,0.8625233840688031
58,5.0,0.64602,2790,2749,1289,1393,1356,0.113571,0.08511609370387288,0.00015111329321030852,0.0011205483875317691,-0.010215,0.00012905925842044802,0.8625196524458767
59,0.0,-0.408563,2865,679,3359,193,486,0.113535,0.08502380864744874,7.942357353048649e-05,0.0011205483875317691,-0.010231,0.00012820475923198003,0.8625187979466883
60,2.0,0.548847,318,203,3835,87,116,0.113576,0.0850183439277204,6.97427368300696e-05,0.0009653112522592783,-0.010276,0.00010851543019013799,0.8624991086176463
61,0.0,0.428672,786,2575,1463,813,1762,0.113884,0.08537615826937477,0.00031097698173437795,0.001912950521320845,-0.010182,8.952543266599835e-05,0.8624801186201222
62,4.0,0.552901,1724,1954,2084,713,1241,0.114087,0.08559961536902078,4.433121962671868e-05,0.001912950521320845,-0.010183,9.450993873185624e-05,0.8624801186201222
63,3.0,0.778063,2396,3154,884,1648,1506,0.114531,0.08577827472391222,-0.0002428740645330401,0.0018852484291352926,-0.01039,0.00010572993130427514,0.8624884714588916
64,1.0,-0.536411,1023,3718,320,1722,1996,0.114293,0.08556826746643023,-0.0001797499267514548,0.0019558999325915874,-0.010413,0.00010242619536129811,0.8624851677229487
65,0.0,-0.623669,2790,2679,1359,1121,1558,0.114115,0.0853551200182652,-0.0005373639434706485,0.002305024519934918,-0.010512,0.00014567680194708666,0.8624851677229487
66,3.0,0.509756,1814,3033,1005,1231,1802,0.114587,0.08547610381847817,-0.0004887778606623186,0.0023899928970907594,-0.010763,0.00013213191459873313,0.8624716228356003
67,0.0,0.655686,944,2731,1307,1197,1534,0.11472,0.08563238806225436,-0.0005878495150528464,0.00230506972486898,-0.010762,0.00016853622259576208,0.8624716228356003
68,4.0,-0.339661,3862,6,4032,1,5,0.11472,0.085632374980765,-0.0005878495150528464,0.00230506972486898,-0.010762,0.00016836272420507134,0.8624714493372095
69,4.0,0.55661,2790,2896,1142,1097,1799,0.115107,0.08596477605227257,-0.001278252338832639,0.0029940607413593556,-0.010786,0.00017622618875900382,0.8624793128017634
70,2.0,0.649722,318,202,3836,94,108,0.115195,0.08607477572311481,-0.0014176514185817398,0.0033307863847247894,-0.010822,0.00017299640415885525,0.8624760830171634
71,0.0,0.676847,258,238,3800,112,126,0.115276,0.0860788499065725,-0.0015698669440621568,0.0033307863847247894,-0.010823,0.00012462715434454478,0.8624277137673491
72,3.0,0.768761,585,3969,69,2159,1810,0.115715,0.08633981888335679,-0.002750520622167799,0.0028999634368265482,-0.01115,0.00013636968962555497,0.86243945630263
73,0.0,-0.505987,3404,2053,1985,769,1284,0.115545,0.08618486796910936,-0.002452031263845939,0.00325785704152777,-0.011236,0.00011581133359683498,0.8624188979466013
74,0.0,0.50125,1023,1327,2711,473,854,0.115609,0.0862327227976342,-0.0025566226986854347,0.002982884590326354,-0.011207,0.00011220713766506448,0.8624152937506695
75,4.0,-0.412028,1099,2381,1657,707,1674,0.115376,0.08611830621908588,-0.0029438945483558684,0.002174035813247339,-0.01118,9.234406512235588e-05,0.8623954306781267
76,4.0,0.505494,2790,3454,584,1258,2196,0.115619,0.08619676273670421,-0.0030442718627170687,0.0021043036492416674,-0.011166,9.783516970977146e-05,0.8624009217827142
77,5.0,0.41513,2790,3477,561,1294,2183,0.115864,0.0865583707401916,-0.0035372354758158725,0.0024988640188833896,-0.010993,0.00010719637297790714,0.8624009217827142
78,2.0,-0.426455,2790,2634,1404,911,1723,0.11576,0.08666758160569357,-0.0035526672256137484,0.0019147592550759793,-0.010741,0.00011478129498830574,0.8624085067047246
79,5.0,-0.271491,2952,724,3314,190,534,0.115713,0.08664444011251227,-0.003368557331578455,0.002191229192782509,-0.010799,0.0001585725304426261,0.8624522979401791
80,1.0,-0.600844,2113,3144,894,1568,1576,0.115171,0.08603170880380566,-0.0037789614058088192,0.001493599051277628,-0.011046,0.00015641129566354038,0.8624501367053999
