,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction
0,2.0,-0.459769,2887,3006,1032,1329,1677,0.113845,0.07477373986984355,-0.0010530457414081873,0.0016486502724412377,0.022517,1.7551819757365686e-05
1,5.0,-0.455548,3898,5,4033,0,5,0.113844,0.07477339615458477,-0.0010530457414081873,0.0016486502724412377,0.022517,1.9480688289180492e-05
2,4.0,-0.672528,2596,3790,248,2150,1640,0.113798,0.07439465273354598,-0.0015458193279090878,0.0030982678375193386,0.023175,4.34690199129912e-05
3,3.0,-0.597208,1713,3596,442,1879,1717,0.1134,0.07447298304235611,-0.0014165234584030244,0.0037391457168613933,0.02276,3.677810632051781e-05
4,4.0,-0.698781,309,3709,329,2122,1587,0.113399,0.07431416903423035,-0.0016555127852479292,0.0034083923804916795,0.022984,6.893831099164103e-05
5,0.0,-0.368672,2763,3455,583,1317,2138,0.113139,0.07441601974721802,-0.0019821423110054455,0.003392485271230082,0.022614,6.052903671000463e-05
6,1.0,-0.61331,3428,3701,337,2028,1673,0.112962,0.07432867801268787,-0.0018989175557024296,0.0034968084757310857,0.022363,5.271836242606409e-05
7,4.0,-0.17765,2183,1883,2155,322,1561,0.112947,0.07427618852907156,-0.0017641064139585787,0.0034968084757310857,0.022432,5.549716906136986e-05
8,5.0,0.720011,2596,3770,268,2158,1612,0.113603,0.0747447436058724,-0.001191808649903715,0.00462599394961341,0.022591,4.6095061043119234e-05
9,0.0,-0.663821,2763,3621,417,2057,1564,0.113249,0.07501279776454414,-0.0019930787541423945,0.004220680406605931,0.022131,2.473737349669685e-05
10,1.0,0.33854,2596,15,4023,5,10,0.113251,0.07501434665275651,-0.0019930787541423945,0.004220680406605931,0.022133,1.999720266233191e-05
11,0.0,-0.744866,2763,2989,1049,1740,1249,0.112877,0.07530857870012976,-0.0026924933964855772,0.005059063363498674,0.021467,0.00017218083722534254
12,3.0,0.593472,2596,3538,500,1803,1735,0.113222,0.07559037785895072,-0.002300564777692022,0.0052562481023571,0.021661,0.00015947618260786297
13,3.0,0.364569,2596,3457,581,1255,2202,0.113717,0.07564233076403763,-0.002059559957490769,0.005903579835168623,0.02184,0.00015167630640088104
14,1.0,0.672398,3698,3844,194,2215,1629,0.114702,0.07586716862525217,-0.0023438188716075814,0.004667604279570881,0.022588,0.0001909570607130045
15,3.0,0.814067,2596,3855,183,2374,1481,0.115502,0.07638659751877637,-0.0035506696222342643,0.004472975413530449,0.022967,0.00016079507342242104
16,4.0,-0.85685,529,3914,124,2437,1477,0.115589,0.07602416673207539,-0.0031164084056520117,0.004310551041595138,0.02335,0.00018092863370962084
17,0.0,-0.785117,2763,3733,305,2203,1530,0.115117,0.07614610857216543,-0.003573479060703985,0.003422611742020862,0.022685,0.00014362363247169067
18,2.0,-0.39117,1401,3049,989,1170,1879,0.115039,0.07609765736621837,-0.003814165506468239,0.003314783096070099,0.022621,0.00015191677080154603
19,4.0,-0.272472,2183,2599,1439,663,1936,0.115001,0.07586998115621861,-0.0036803375332292105,0.003515847792293025,0.022851,0.00017914407954133308
20,5.0,-0.248584,3485,6,4032,0,6,0.115,0.07586981894151801,-0.0036803375332292105,0.003515847792293025,0.02285,0.00017767657933501137
21,3.0,-0.828362,1832,191,3847,114,77,0.114986,0.0758835079641199,-0.0037118631887057044,0.003515847792293025,0.022821,0.000185511823207257
22,5.0,-0.692933,1832,3874,164,2189,1685,0.114563,0.07569563331412303,-0.00342112024689809,0.003734234094319614,0.022749,0.0001451767897831421
