Unnamed: 0,party_mentioned,post_stance,author_id,num_of_agents_received,num_of_agents_not_received,num_of_spreader_agents,num_of_disinterested_agents,network_polarization,net_polarization2,network_homophily,network_homophily2,network_polarity,user_satisfaction,user_activity
0,2.0,-0.459769,1863.0,2972.3,1065.7,1280.1,1692.2,0.1176053,0.07496445884849695,-0.0009739931892239499,-0.00070003050171881,-0.0054619000000000004,7.226494577178071e-06,0.8767941550885807
1,5.0,-0.455548,1670.5,2778.9,1259.1,1170.9,1608.0,0.1173678,0.0748012076480395,-0.0006686292296844271,-0.0005184774081750099,-0.005512800000000001,1.333502275857825e-05,0.8767926822651273
2,4.0,-0.672528,1607.6,3326.2,711.8,1808.4,1517.8,0.1170328,0.07465681493864322,-0.0006964930074834338,-0.00049751687955163,-0.005497999999999999,2.9434987468178213e-05,0.8767926822651273
3,3.0,-0.597208,1130.1,2856.1,1181.9,1431.7,1424.4,0.1167667,0.07457579069345625,-0.0007647028664402799,-0.0006577896388846601,-0.0054135,4.6601122929689855e-05,0.8767975753823181
4,4.0,-0.698781,2245.6,2565.0,1473.0,1377.5,1187.5,0.1165545,0.0745174143204574,-0.0007603574702008001,-0.0007115681920578,-0.0054341,4.935417551862292e-05,0.8767983256937812
5,0.0,-0.368672,1470.0,2223.1,1814.9,781.1,1442.0,0.11631,0.07449015377402879,-0.00076640993005337,-0.00070081514325714,-0.0054975,4.561534785913798e-05,0.8767944559070147
6,1.0,-0.61331,1990.6,3227.9,810.1,1661.3,1566.6,0.11591359999999999,0.07434720734056081,-0.00069503001706556,-0.00080518313793121,-0.005429100000000001,3.179766823841621e-05,0.8767741629425846
7,4.0,-0.17765,2624.2,672.8,3365.2,105.4,567.4,0.115878,0.07435265644633803,-0.00067158782458376,-0.00074081170186577,-0.0054279,3.1368710698304015e-05,0.8767732126325394
8,5.0,0.720011,2060.8,3339.9,698.1,1885.6,1454.3,0.11628229999999999,0.0746138254562144,-0.00053091631457583,-0.0010115690060393,-0.0053971,3.626734113487148e-05,0.8767549283171148
9,0.0,-0.663821,2059.1,3432.2,605.8,1851.0,1581.2,0.1158815,0.07443845037743127,-0.00059498199022005,-0.0008061802861598326,-0.005396100000000001,4.248808426141465e-05,0.8767190120878501
10,1.0,0.33854,2318.8,1494.8,2543.2,468.5,1026.3,0.11602539999999999,0.07451434724137473,-0.00047444707106478,-0.0008900232149263325,-0.0054687,4.002047233553062e-05,0.8767194430014426
